Date,volume,pct_change_1d,rsi,adx,corr,volatility,volume^2,pct_change_1d^2,rsi^2,adx^2,corr^2,volatility^2,volume*pct_change_1d,volume*rsi,volume*adx,volume*corr,volume*volatility,pct_change_1d*rsi,pct_change_1d*adx,pct_change_1d*corr,pct_change_1d*volatility,rsi*adx,rsi*corr,rsi*volatility,adx*corr,adx*volatility,corr*volatility
2024-11-21,12313100,0.0268816659616246,32.933195967732104,45.46018916963519,0.8012430812482176,4.532100957348384,151612431610000,0.0007226239648723,1084.595396649046,2066.628799339017,0.6419904752481379,20.539939087598132,330996.6411520807,405509735.27028215,559755855.2646351,9865786.183717428,55804212.29792638,0.8852991730532989,1.2220456198104008,0.0215387488641774,0.1218304240397986,1497.1493186537684,26.38749541253705,149.25656897390058,36.42466204440535,206.03016685694223,3.631314535593816
2024-11-22,12539400,-0.0314134983107707,28.454246398146992,46.01848237824091,0.7688732227709432,4.518997130317903,157236552360000,0.0009868078761207,809.6441380864611,2117.700720396469,0.5911660326941764,20.42133506382144,-393906.4207180792,356799177.2849244,577044157.933714,9641208.889613966,56665512.61590831,-0.8938474211624462,-1.445601518453106,-0.0241529976847119,-0.1419575087196194,1309.4212364592522,21.87770812966178,128.5846578185848,35.38237885318595,207.95738980885565,3.4745358872801697
2024-11-25,15500100,0.0054053401368849,30.21187239526017,46.52094805254401,0.7149258805821084,4.557820777735426,240253100010000,2.921770199541978e-05,912.7572336274834,2164.198607707498,0.5111190147261031,20.773730241956763,83783.31265573094,468287043.31377214,721079346.9092374,11081422.641610738,70646677.83697687,0.1633054464685472,0.2514615477143574,0.0038644175572083,0.0246365715866216,1405.4849462699867,21.599249476215668,137.70029973740816,33.25902975197955,212.03414363383547,3.2585040330579296
2024-11-26,6121400,-0.0053762795174223,29.409119073345337,47.14647464815129,0.630777053574861,4.504221022732667,37471537960000,2.8904381449455277e-05,864.8962846702045,2222.7900717487723,0.3978796913165831,20.28800702162691,-32910.35743794927,180024981.49557614,288602429.9111933,3861238.6557531534,27572138.568555743,-0.158111644499462,-0.2534726259695286,-0.0033912337531945,-0.0242159512264608,1386.5362868159384,18.55059747731702,132.4651723902103,29.738914365002756,212.35814225793573,2.841159265369259
2024-11-27,5542000,0.0054053401368849,31.43341716755807,47.70945062533563,0.4386626645249313,4.525375484929397,30713764000000,2.921770199541978e-05,988.0597148297344,2276.191678971338,0.1924249332481124,20.47902327959997,29956.39503861658,174203997.9426068,264405775.36561003,2431068.4867971693,25079630.93747872,0.1699083114552511,0.257885808373859,0.0023711209071095,0.0244611937431642,1499.6710643411889,13.788666529844742,142.2480154576261,20.928354734330377,215.9031782593433,1.985113268194932
2024-11-28,9892900,-0.0162161944561205,28.677351863764933,49.06826098009729,-0.2235746748665894,4.522549441736082,97869470410000,0.0002629649626387,822.390509918182,2407.6942356109384,0.0499856352417011,20.453453452947347,-160425.19013495496,283702174.25304013,485427399.0500045,-2211801.900987683,44741129.37215088,-0.4650375143094031,-0.7957004616769299,0.0036255304031005,-0.0733385411846117,1407.147785469297,-6.411529618976028,129.6947416619393,-10.97042049489421,221.91363630249936,-1.01112752100422
2024-11-29,12316500,-0.0054945661996133,27.775366818455105,50.29119029938279,0.2340496600394953,1.5876863122774694,151696172250000,3.019025772193299e-05,771.4710018997368,2529.2038217287336,0.0547792433646033,2.52074782619323,-67673.82459753727,342095305.4195023,619411445.3223481,2882672.637876444,19554738.46516545,-0.1526135917025443,-0.2763282743573091,-0.0012860013510839,-0.0087236475470284,1396.856258302088,6.500815161331695,44.09856971614697,11.770635992552103,79.8466344664715,0.3715974416379016
2024-12-02,6430100,0.0055249232561922,30.21421491558676,51.39182668673974,0.5843468250908997,1.5878011212111476,41346186010000,3.052477698681396e-05,912.8987829652656,2641.119850199895,0.3414612119938146,2.521112400519377,35525.80902964178,194280423.32871443,330454584.7784052,3757408.5200169934,10209719.9894998,0.166931218654716,0.2839358984397698,0.0032284713636268,0.0087724793407875,1552.7636964177416,17.65558055853723,47.97416431948324,30.03065076001814,81.60000003429434,0.9278265440555048
2024-12-03,6806100,0.0274725581998043,41.23775249567383,49.7210999063375,0.5619295966003198,1.786820168045731,46322997210000,0.0007547414540416,1700.5522308944533,2472.187775895995,0.3157648715353982,3.1927263129349743,186980.9783636882,280668267.26080567,338406778.07252365,3824549.0274214367,12161276.74573605,1.1329065554665252,1.365965810935142,0.0154376435467948,0.0490885210592204,2050.386411750217,23.17271362459783,73.68444784414818,27.939757612892432,88.84266409006055,1.0040671362272533
2024-12-04,10385700,-0.0267379970205121,35.08061674483386,48.5036827908402,0.6761577177382648,1.991355505006726,107862764490000,0.0007149204846689,1230.649671197918,2352.607244274447,0.457189259257019,3.965496747320593,-277692.8156559332,364336761.326821,503744698.360829,7022371.209114297,20681620.868348356,-0.9379854260010968,-1.296891325945352,-0.018079103042282,-0.0532448575596503,1701.5391066984585,23.720029755037626,69.85797927385605,32.79613945775526,96.58807573863962,1.3464703934708775
